account_id,tank_id,damage_dealt,wins,battles
532058685,18497,197556,65,121
532058685,19713,206914,45,62
532058685,4721,276947,130,231
532058685,59729,130724,64,86
532058685,14673,233937,60,91
532058685,6721,38727,16,22
532058685,20561,148471,49,71
532058685,21761,534042,102,159
532058685,55297,243342,72,116
532058685,4145,61254,9,15
532058685,3857,140325,41,68
532058685,32833,138435,40,76
532058685,16673,101453,40,71
532058685,15617,135089,23,45
532058685,58705,237686,97,143
532058685,54289,140367,37,56
532058685,5265,667278,89,175
532058685,4737,406313,67,108
532058685,6657,94123,27,46
532058685,51233,346746,76,113
532058685,1665,113352,41,60
532058685,3681,327693,56,86
532058685,593,11868,18,31
532058685,18177,324192,91,151
532058685,1121,141335,55,86
532058685,30993,3888,0,1
532058685,4657,66723,35,48
532058685,273,104865,73,121
532058685,59473,200405,79,121
532058685,15105,6216,27,44
532058685,57617,186975,61,99
532058685,17985,62368,32,44
532058685,52097,5081796,1314,2130
532058685,1409,102808,38,62
532058685,1105,102447,25,52
532058685,52305,397531,98,155
532058685,8737,381540,66,111
532058685,13905,264276,65,115
532058685,3585,135413,50,70
532058685,2449,99040,29,54
532058685,50193,317001,68,117
532058685,52481,8217,8,15
532058685,4353,143712,43,61
532058685,50465,177116,38,73
532058685,45569,2372474,888,1465
532058685,1841,283207,56,89
532058685,2049,57176,56,71
532058685,49169,5533,2,3
532058685,25873,326753,63,133
532058685,2161,384086,74,122
532058685,45841,1078929,269,450
532058685,20481,201064,49,72
532058685,47361,234343,61,90
532058685,17729,346579,65,97
532058685,8465,215942,53,92
532058685,1905,184251,52,98
532058685,46865,369464,103,165
532058685,8193,302787,61,89
532058685,6433,3837,6,10
532058685,3457,74671,42,65
532058685,7265,191521,71,122
532058685,54145,42524,9,15
532058685,3377,118870,51,85
532058685,41233,356199,86,113
532058685,14625,146222,35,62
532058685,18209,280570,88,141
532058685,6801,104774,54,80
532058685,7009,115977,60,96
532058685,3105,8884,24,36
532058685,14145,82484,48,68
532058685,10241,239994,76,114
532058685,2561,96786,42,59
532058685,5185,104047,46,81
532058685,6753,348651,54,91
532058685,13889,494676,90,149
532058685,12545,108143,44,58
532058685,19457,134199,57,82
532058685,5793,74817,29,52
532058685,60945,717878,136,235
532058685,3969,153721,58,92
532058685,1057,71235,42,60
532058685,60689,28544,19,29
532058685,5457,112843,40,60
532058685,1,65527,38,52
532058685,1697,99809,47,66
532058685,5921,129026,48,72
532058685,19985,1629823,447,722
532058685,4257,156645,51,81
532058685,5537,86696,21,31
532058685,11041,134441,41,65
532058685,17665,269408,49,89
532058685,8241,327395,59,95
532058685,12289,105242,38,59
532058685,2129,73641,37,58
532058685,2081,4110,11,18
532058685,4913,106421,60,87
532058685,57153,3056,0,4
532058685,37393,735313,190,339
532058685,10065,84603,30,53
532058685,2657,172657,55,91
532058685,7953,270317,48,84
532058685,4225,252065,75,119
532058685,42017,12262,1,4
532058685,7457,36555,21,38
532058685,60449,51134,15,25
532058685,15361,11227,30,54
532058685,4385,158781,40,54
532058685,7697,173791,43,63
532058685,8497,368726,61,110
532058685,1377,65426,37,53
532058685,6241,213743,51,83
532058685,4865,8590,14,31
532058685,58961,58103,21,22
532058685,3937,9310,2,3
532058685,8081,319253,54,90
532058685,10529,165795,98,137
532058685,63537,170557,26,41
532058685,1953,115162,50,72
532058685,18961,96008,40,72
532058685,3841,40861,83,131
532058685,4481,263720,50,78
532058685,20993,508500,98,138
532058685,8977,264902,137,260
532058685,32769,343325,72,117
532058685,19201,664916,188,297
532058685,60225,5289178,1286,1929
532058685,58369,0,0,0
532058685,62753,311231,58,93
532058685,22017,372092,69,94
532058685,41489,71493,11,16
532058685,21505,303720,63,100
532058685,2305,117210,28,47
532058685,5969,150840,37,73
532058685,18241,120070,53,85
532058685,25617,108272,63,91
532058685,7681,12864,40,70
532058685,16897,1741220,313,507
532058685,65585,36671,6,13
532058685,15953,105661,18,29
532058685,1137,3991,3,4
532058685,3153,8908,4,4
532058685,19969,18177,4,7
532058685,51857,44527,16,22
532058685,15137,126302,51,92
532058685,3393,16864,26,46
532058685,20225,82357,17,22
532058685,5409,40312,23,38
532058685,51105,295126,70,100
532058685,513,128506,49,61
532058685,9249,160005,51,73
532058685,1889,114428,47,73
532058685,20737,254468,52,82
532058685,2593,583343,129,206
532058685,56913,214594,64,110
532058685,5665,15267,41,71
532058685,3697,174030,53,81
532058685,3089,1229,1,1
532058685,7985,209405,55,89
532058685,6049,84669,18,34
532058685,63281,376688,85,147
532058685,2625,8829,3,4
532058685,3873,183129,63,77
532058685,62801,25416,12,19
532058685,47377,5071056,1784,2893
532058685,10017,104055,44,68
532058685,48385,501410,122,214
532058685,2113,124324,77,142
532058685,61713,175511,53,77
532058685,5713,322768,59,102
532058685,51841,14034,16,34
532058685,7217,86083,29,48
532058685,10273,28232,21,40
532058685,61473,192576,71,112
532058685,15873,1946,9,13
532058685,57889,173609,101,153
532058685,11521,229761,46,65
532058685,4769,216071,51,89
532058685,59937,106504,38,59
532058685,10577,9666,29,37
532058685,3233,141046,52,68
532058685,62481,7213268,1723,2863
532058685,18433,174474,68,117
532058685,19745,128497,45,79
532058685,51089,4115266,1051,1642
532058685,16209,61963,39,53
532058685,32321,314885,101,153
532058685,58449,196456,68,117
532058685,12049,286570,53,83
532058685,49921,23471,8,13
532058685,11793,108344,40,67
532058685,20305,104321,40,64
532058685,5937,389365,100,163
532058685,57681,106196,41,64
532058685,15905,418959,72,124
532058685,3713,98677,52,65
532058685,52065,279806,74,127
532058685,17473,206838,80,135
532058685,5505,604860,104,169
532058685,8785,17988,10,15
532058685,13569,403379,66,116
532058685,15681,529181,95,163
532058685,4673,32968,20,37
532058685,20241,104818,46,82
532058685,545,34519,91,177
532058685,16385,85528,92,163
532058685,13841,212980,61,104
532058685,2465,1123039,236,381
532058685,1313,91789,31,48
532058685,2705,167532,51,80
532058685,4881,4276,8,19
532058685,50961,209662,72,112
532058685,15425,454838,74,128
532058685,7969,46853,23,41
532058685,11025,132730,44,74
532058685,1825,7020,13,17
532058685,13313,197743,44,79
532058685,7729,145492,44,68
532058685,47633,2287,3,3
532058685,2417,438471,65,120
532058685,53761,87682,35,59
532058685,4977,93987,41,56
532058685,6257,301189,116,213
532058685,2065,16422,33,60
532058685,5393,78770,45,59
532058685,14113,521153,90,151
532058685,3889,161334,52,75
532058685,62993,112509,33,57
532058685,21585,197795,37,68
532058685,833,14470,33,50
532058685,51361,399243,88,137
532058685,3473,57460,8,13
532058685,7249,671927,134,204
532058685,4497,188581,49,80
532058685,61729,343988,74,94
532058685,54529,2205,4,5
532058685,5681,285469,72,126
532058685,55889,160268,65,105
532058685,16129,30393,11,19
532058685,16657,323625,89,131
532058685,15633,26882,36,51
532058685,19217,536047,93,146
532058685,15889,111419,52,79
532058685,6673,3541,10,17
532058685,14609,2215470,374,630
532058685,6177,329,0,5
532058685,19281,1446781,254,448
532058685,5249,281514,54,81
532058685,1649,128611,38,73
532058685,13137,268200,65,82
532058685,32257,457484,128,197
532058685,55633,219762,71,116
532058685,59905,588077,190,313
532058685,15121,15745,58,100
532058685,16401,309217,60,93
532058685,65329,1258959,322,531
532058685,60529,2436286,624,985
532058685,60481,624076,136,200
532058685,2193,60270,36,44
532058685,15649,141960,63,101
