account_id,tank_id,damage_dealt,wins,battles
595082847,8257,746,1,4
595082847,769,46,0,2
595082847,2961,128375,31,44
595082847,69153,596995,65,102
595082847,6161,433,3,7
595082847,2097,309303,57,98
595082847,15905,408112,58,95
595082847,7953,234179,42,59
595082847,3329,3113,26,52
595082847,15121,0,3,3
595082847,13089,1518333,238,372
595082847,55297,2918,0,2
595082847,13569,494140,102,196
595082847,4145,1110737,174,271
595082847,5377,905997,372,704
595082847,15361,285,2,2
595082847,11265,79440,87,179
595082847,289,36,1,1
595082847,5905,5349,12,27
595082847,61729,169617,32,52
595082847,337,0,0,1
595082847,4865,6051,21,35
595082847,15617,3084113,535,817
595082847,4881,2211,11,22
595082847,3937,704839,91,136
595082847,57937,11219250,1693,2489
595082847,45057,128869,28,47
595082847,6993,572,6,9
595082847,63537,570836,88,125
595082847,7169,2872407,592,1059
595082847,44289,326849,76,109
595082847,3649,681857,101,178
595082847,6913,10127,31,69
595082847,61985,438280,94,133
595082847,54289,1134592,323,521
595082847,5265,899102,134,222
595082847,1345,211,1,4
595082847,6657,118620,54,87
595082847,15697,1055831,166,246
595082847,3841,1740,11,28
595082847,22273,512202,93,142
595082847,7681,981,4,13
595082847,2065,7590,35,64
595082847,11777,121168,153,314
595082847,12561,76794,162,312
595082847,13857,372448,60,82
595082847,60225,1039159,238,346
595082847,52001,760,1,4
595082847,4897,81,2,3
595082847,62753,546932,101,130
595082847,6145,557379,82,126
595082847,22017,2345091,443,749
595082847,21505,405122,88,137
595082847,12305,450268,58,100
595082847,51361,831536,179,274
595082847,16897,826573,155,271
595082847,3473,2345726,360,565
595082847,58881,126104,37,62
595082847,2305,53638,30,81
595082847,7249,491239,68,108
595082847,4497,25171,9,19
595082847,50945,70,0,1
595082847,16385,18085,26,60
595082847,45313,9311,8,14
595082847,529,166324,51,71
595082847,913,12305,5,7
595082847,13905,700476,138,207
595082847,58641,5524311,843,1248
595082847,3585,159337,143,268
595082847,59441,449028,70,121
595082847,15953,385491,67,90
595082847,785,700,3,6
595082847,50193,1588643,428,687
595082847,9489,1130779,162,268
595082847,19969,1709835,284,490
595082847,6673,2024,7,12
595082847,14609,1073337,162,251
595082847,6177,2958,10,22
595082847,51857,64117,14,26
595082847,2833,1384,6,18
595082847,5121,3277,22,47
595082847,4353,231631,79,150
595082847,60929,128291,286,551
595082847,3393,1027,4,7
595082847,51057,356464,72,108
595082847,60433,70,1,1
595082847,849,0,1,1
595082847,1537,12452,28,71
595082847,16961,1007854,123,194
595082847,7425,263899,120,233
595082847,20993,852464,151,258
595082847,55633,78950,21,39
595082847,513,472983,284,559
595082847,47873,1093,0,4
595082847,2929,2019713,277,428
595082847,10785,1473582,238,349
595082847,20737,204037,53,88
595082847,3617,470,3,7
595082847,20481,185908,58,106
595082847,577,0,2,3
595082847,60529,239441,66,94
595082847,6929,1212419,214,312
595082847,5665,217,3,5
595082847,3169,28,1,1
595082847,5137,197122,49,61
595082847,48641,492317,122,173
595082847,41745,475259,53,77
595082847,257,27264,35,86
595082847,10257,523779,80,133
595082847,8193,579946,136,292
595082847,6433,46,1,1
595082847,2561,80293,84,178
595082847,55313,17422,8,16
595082847,15633,388,0,3
595082847,3089,7172,69,143
595082847,6209,1567545,231,369
595082847,2817,158549,144,282
595082847,61249,688,1,3
595082847,63281,1466430,414,681
595082847,49665,389021,91,127
595082847,44545,5195,2,2
595082847,545,2109,14,31
595082847,3633,26442,11,15
595082847,9745,781823,149,213
595082847,3073,11328,48,99
595082847,46865,305656,60,95
595082847,4609,10317,41,78
595082847,1025,8846,35,66
595082847,5953,606,5,7
595082847,6401,6405,28,63
595082847,44801,134,0,1
595082847,62273,364796,78,120
595082847,5425,1019504,161,270
595082847,3681,425007,74,104
595082847,3441,78731,24,36
595082847,53121,242694,72,120
595082847,7761,278,2,4
595082847,6193,2111817,346,526
595082847,10497,103308,85,185
595082847,2353,706,2,4
595082847,51489,80,1,1
595082847,67585,534285,60,100
595082847,56657,556014,165,292
595082847,63505,225,0,1
595082847,7937,452050,103,170
595082847,2433,1841441,268,397
595082847,13345,377985,118,184
595082847,4369,2277,7,13
595082847,3601,659,3,5
595082847,47617,86098,26,39
595082847,12817,0,0,1
595082847,63041,1224220,415,714
595082847,11521,1261892,373,705
595082847,22529,185710,41,62
595082847,1825,6705,20,47
595082847,5889,35926,26,56
595082847,10577,0,1,1
595082847,8273,165,2,4
595082847,60465,21367,6,9
595082847,55073,407,1,4
595082847,47121,34730,8,14
595082847,51713,105927,94,190
595082847,56577,371,0,4
595082847,14881,1076954,160,262
595082847,3345,1805,10,18
595082847,1,48674,66,123
595082847,3185,36809,7,11
595082847,60977,971808,158,239
595082847,50849,2085307,325,500
595082847,14865,313395,57,83
595082847,55841,1735055,271,405
595082847,833,1314,4,14
595082847,65329,12852,4,6
595082847,5201,1238,4,8
595082847,52561,334064,53,74
595082847,65569,351890,50,79
595082847,12049,441103,73,105
595082847,13825,362821,60,106
595082847,13073,1576,5,13
595082847,54865,0,0,1
595082847,1601,91,2,3
595082847,609,140,0,1
595082847,2081,768,5,13
595082847,1809,5073,11,21
595082847,16913,73047,14,20
595082847,7505,48,0,1
595082847,9473,23922,72,160
595082847,7745,727,2,4
