account_id,tank_id,damage_dealt,wins,battles
550792252,18497,73488,26,48
550792252,3921,356992,78,123
550792252,2961,196818,43,65
550792252,52065,267306,73,120
550792252,44289,351176,89,114
550792252,2097,519807,88,159
550792252,8545,809386,113,181
550792252,3329,871,1,1
550792252,53409,240627,62,84
550792252,2321,118037,42,50
550792252,13089,105604,17,22
550792252,16961,541657,85,127
550792252,5377,170554,47,69
550792252,2593,324138,53,80
550792252,7057,0,0,0
550792252,4385,61036,10,20
550792252,8497,0,0,0
550792252,545,1085,1,1
550792252,6241,212172,46,71
550792252,2177,77672,16,20
550792252,13841,79668,16,31
550792252,59153,3626,3,3
550792252,15617,1891367,307,475
550792252,64561,365748,113,160
550792252,10529,5858,3,6
550792252,15425,226125,39,70
550792252,58705,65541,31,61
550792252,3649,376260,65,95
550792252,61985,582441,133,210
550792252,54289,23141,4,10
550792252,57937,4792834,738,1092
550792252,34081,81748,16,31
550792252,15697,1751201,275,408
550792252,12305,260552,40,60
550792252,3377,110612,54,79
550792252,5697,348194,86,124
550792252,62497,11944,2,5
550792252,11777,85041,36,40
550792252,9265,301267,62,87
550792252,60225,1378613,324,458
550792252,62529,621600,145,250
550792252,1921,84690,21,29
550792252,4657,90224,60,105
550792252,49,412334,95,144
550792252,113,982,1,1
550792252,4225,188744,46,63
550792252,16705,344526,70,99
550792252,59473,202558,127,189
550792252,22017,986488,154,235
550792252,21505,309502,56,94
550792252,51361,1515695,336,501
550792252,7729,146204,45,65
550792252,7249,195041,28,40
550792252,4497,70711,20,31
550792252,5969,194439,45,83
550792252,1409,0,0,0
550792252,61729,7098,2,2
550792252,8801,259187,46,62
550792252,54529,23449,34,45
550792252,1393,10325,4,7
550792252,529,124433,30,39
550792252,58641,1099800,169,260
550792252,16897,20517,3,5
550792252,16657,43533,14,19
550792252,305,517,0,2
550792252,15889,40350,13,19
550792252,50193,1824181,465,705
550792252,4113,30050,7,10
550792252,10785,0,0,0
550792252,14609,897007,145,224
550792252,51857,335167,85,124
550792252,9313,182010,43,61
550792252,9009,0,0,0
550792252,4353,170349,42,68
550792252,60929,4318,4,7
550792252,51057,1474060,316,458
550792252,20225,125451,26,37
550792252,2049,55181,36,47
550792252,11297,165328,31,55
550792252,54785,109842,50,77
550792252,19969,0,0,0
550792252,1329,662,1,1
550792252,58113,586133,226,307
550792252,58913,129100,34,54
550792252,577,634,1,1
550792252,1073,52639,19,20
550792252,11265,5294,2,2
550792252,4433,431545,80,119
550792252,10257,401133,68,110
550792252,3217,270719,53,78
550792252,34849,121440,28,43
550792252,2561,0,0,0
550792252,3361,12794,8,9
550792252,5425,1502686,255,384
550792252,18753,35089,11,20
550792252,7985,93036,17,30
550792252,2113,1143,1,2
550792252,14625,162830,35,52
550792252,46097,69,1,1
550792252,63281,4437,1,1
550792252,3873,160623,45,58
550792252,47377,81580,31,52
550792252,3137,189607,42,67
550792252,15393,74839,11,23
550792252,7169,341250,56,75
550792252,5185,132824,41,67
550792252,20241,113186,52,77
550792252,3681,653381,105,167
550792252,5713,752070,128,200
550792252,4689,0,0,0
550792252,6193,1416971,239,352
550792252,60945,363893,72,102
550792252,3905,140798,24,37
550792252,2865,222028,69,97
550792252,7937,275982,59,95
550792252,2433,203818,37,58
550792252,3633,118418,34,66
550792252,6465,104946,43,63
550792252,53345,440804,99,144
550792252,60177,175053,41,63
550792252,47121,1377955,247,378
550792252,1057,32255,16,22
550792252,61953,761099,180,253
550792252,7201,94182,36,53
550792252,33057,2809,1,1
550792252,1,51126,28,40
550792252,1569,136433,38,58
550792252,19985,28768,6,10
550792252,7473,119861,42,59
550792252,51089,284513,70,93
550792252,14865,519196,84,144
550792252,5265,1345587,210,350
550792252,55841,3112927,516,781
550792252,64017,1669,2,3
550792252,5169,0,0,0
550792252,61505,447314,274,398
550792252,11553,152546,62,81
550792252,65569,0,0,0
550792252,8241,373114,59,89
550792252,3473,818416,137,186
550792252,4913,51706,25,41
550792252,3425,129459,30,39
550792252,801,184032,56,67
