account_id,tank_id,damage_dealt,wins,battles
703924037,18497,38434,22,34
703924037,33089,7389,2,5
703924037,61697,4589,2,3
703924037,49425,0,0,0
703924037,54353,12532,8,9
703924037,7457,8332,4,8
703924037,42273,10823,0,3
703924037,16161,96460,34,78
703924037,8497,74574,10,20
703924037,401,1206,1,1
703924037,3937,624887,101,142
703924037,57937,150004,22,40
703924037,29969,11506,2,5
703924037,15425,0,0,0
703924037,3649,714102,148,210
703924037,61985,0,0,0
703924037,30481,29589,7,15
703924037,51569,50352,18,38
703924037,5265,93736,21,36
703924037,4737,129580,27,41
703924037,66369,26229,10,13
703924037,12305,421865,81,116
703924037,22273,0,0,0
703924037,10801,93800,12,21
703924037,11777,2707,1,1
703924037,13857,556843,92,134
703924037,64769,30736,17,25
703924037,30993,608,1,2
703924037,21841,484389,94,134
703924037,16417,3130,1,5
703924037,6145,238305,44,66
703924037,22017,0,0,0
703924037,62209,4711,0,3
703924037,51361,15826,5,6
703924037,58417,1121,0,1
703924037,50577,1681,1,1
703924037,65585,19424,2,8
703924037,55425,27616,10,14
703924037,6305,84149,15,22
703924037,7537,64604,19,26
703924037,50593,109065,20,35
703924037,16657,24431,6,11
703924037,22785,48259,15,21
703924037,62513,225383,37,57
703924037,10545,266228,32,63
703924037,50193,24248,10,12
703924037,9489,734750,123,206
703924037,10785,0,0,0
703924037,51857,168672,32,64
703924037,32001,123785,24,36
703924037,9009,2998,1,1
703924037,8289,1021193,196,280
703924037,849,7964,5,7
703924037,20993,256893,51,82
703924037,2929,0,0,0
703924037,45841,21227,8,11
703924037,63057,107194,22,27
703924037,67585,573654,82,139
703924037,17729,498495,73,116
703924037,41745,164856,20,36
703924037,59201,7293,3,4
703924037,6769,359358,106,179
703924037,34849,0,0,0
703924037,53281,0,0,0
703924037,65841,16170,8,9
703924037,61249,45535,19,30
703924037,23889,72270,10,14
703924037,65601,199908,50,83
703924037,60417,51071,12,24
703924037,59217,3919,1,2
703924037,7169,503589,104,147
703924037,5425,0,0,0
703924037,21537,8595,1,4
703924037,13889,416133,82,116
703924037,7281,99467,21,27
703924037,52513,16501,6,8
703924037,67905,2652,1,2
703924037,61473,9021,4,5
703924037,26641,45702,13,15
703924037,60465,46209,9,18
703924037,51713,224284,96,148
703924037,42017,44552,12,16
703924037,17217,71567,17,30
703924037,66113,15847,5,7
703924037,6225,0,0,0
703924037,50849,4265,1,2
703924037,67361,140632,20,31
703924037,3873,8244,2,5
703924037,32785,12750,3,5
703924037,61505,33536,21,41
703924037,53361,6792,4,7
703924037,33825,610590,105,159
703924037,15185,6738,2,2
703924037,13825,0,0,0
703924037,9297,211374,42,68
703924037,64817,3217,1,4
703924037,8481,1904,3,3
703924037,19009,716733,252,376
703924037,801,1157,2,2
703924037,52593,32219,8,12
