account_id,tank_id,damage_dealt,wins,battles
535076903,18497,73004,38,56
535076903,769,15095,36,71
535076903,62753,935525,196,272
535076903,3713,1779,1,2
535076903,19713,467025,128,223
535076903,17473,137201,71,137
535076903,14673,203393,56,100
535076903,8705,71019,24,44
535076903,6161,119191,158,247
535076903,47121,440846,100,127
535076903,59905,969099,331,570
535076903,60689,8058,10,19
535076903,8545,262599,44,65
535076903,3329,13422,52,87
535076903,12561,156585,254,434
535076903,5457,88058,64,126
535076903,15121,3514,12,26
535076903,7457,389424,156,265
535076903,2321,43253,27,54
535076903,21761,438589,69,117
535076903,55297,440699,256,469
535076903,15681,306943,59,85
535076903,5377,635831,236,425
535076903,3121,15001,19,30
535076903,4673,37587,26,43
535076903,11265,25838,27,53
535076903,16161,292,1,1
535076903,3857,171376,101,185
535076903,17217,570731,158,242
535076903,8497,211011,31,52
535076903,401,1617,7,8
535076903,58913,9932,5,10
535076903,6241,78019,16,30
535076903,54289,945688,351,658
535076903,337,481,2,6
535076903,53249,90494,33,43
535076903,4865,2507,7,19
535076903,2465,293625,69,103
535076903,58961,355640,111,148
535076903,15937,978,3,3
535076903,25617,8414,6,9
535076903,1793,213116,120,231
535076903,2657,78030,25,30
535076903,3937,569286,80,138
535076903,6225,230488,47,70
535076903,61441,106153,145,280
535076903,65569,21163,4,5
535076903,18193,355593,310,546
535076903,5505,519985,90,131
535076903,63537,477146,94,142
535076903,3137,105737,32,57
535076903,7169,1307745,274,435
535076903,3649,1013256,182,295
535076903,6913,4079,9,13
535076903,61985,612119,173,231
535076903,129,340,2,3
535076903,7969,87481,58,95
535076903,6993,95566,161,234
535076903,16145,42277,54,126
535076903,6449,638,1,3
535076903,1553,161817,115,225
535076903,4737,516838,86,145
535076903,6657,75413,39,67
535076903,15377,344011,152,308
535076903,4641,3492,7,10
535076903,11537,324596,132,269
535076903,4401,1836,5,9
535076903,18961,101683,59,122
535076903,18449,142075,53,104
535076903,12305,932099,171,258
535076903,5425,1042512,189,286
535076903,417,59,1,1
535076903,47633,2812,9,11
535076903,13393,12324,11,20
535076903,7953,556192,131,273
535076903,1665,61063,28,39
535076903,2065,14438,38,75
535076903,11777,119212,121,197
535076903,8977,197395,143,281
535076903,5393,35264,37,74
535076903,4433,326299,63,91
535076903,47105,3006,3,6
535076903,18177,166010,64,109
535076903,19201,1185308,372,620
535076903,5713,440165,118,159
535076903,5153,1766,3,6
535076903,52001,44689,71,120
535076903,4897,1739,5,10
535076903,21841,104011,21,26
535076903,65073,101045,28,45
535076903,15697,1287572,220,321
535076903,58369,795956,111,187
535076903,5137,121092,54,101
535076903,51841,451,3,7
535076903,273,510463,371,722
535076903,6145,356389,52,78
535076903,50849,855339,134,216
535076903,81,1044,4,11
535076903,22017,1917859,390,651
535076903,21505,425957,111,167
535076903,3841,635,4,5
535076903,4129,22405,28,57
535076903,51361,2704524,757,1160
535076903,17985,51759,40,62
535076903,52097,18527,9,10
535076903,3473,560610,88,149
