account_id,tank_id,damage_dealt,wins,battles
506013219,3921,16397,8,9
506013219,61457,41991,35,48
506013219,44289,328914,86,144
506013219,36097,99132,34,58
506013219,6721,29130,25,40
506013219,49425,49854,15,24
506013219,13089,0,0,0
506013219,55297,36828,19,34
506013219,32833,7713,3,7
506013219,817,403610,116,192
506013219,59153,4567,3,4
506013219,14353,13532,9,10
506013219,15617,5036,0,2
506013219,1793,12357,5,13
506013219,54289,426087,135,242
506013219,57937,202541,32,58
506013219,27409,65492,28,52
506013219,4737,83899,20,27
506013219,52865,54397,14,30
506013219,6657,157988,63,112
506013219,5185,150322,105,183
506013219,47121,468026,85,136
506013219,1665,6647,3,5
506013219,3681,78729,16,22
506013219,18177,10590,5,10
506013219,1121,64794,36,76
506013219,52001,327,0,1
506013219,4657,45591,34,58
506013219,273,67269,42,93
506013219,56833,275136,84,133
506013219,57617,175467,74,148
506013219,58417,82341,25,53
506013219,52097,559521,173,296
506013219,54545,22169,17,36
506013219,1409,92531,51,82
506013219,53121,97329,29,52
506013219,2385,305,0,2
506013219,529,223219,75,124
506013219,63025,47678,16,22
506013219,62513,442958,89,156
506013219,50193,812995,231,377
506013219,9489,18560,2,7
506013219,16401,750858,177,267
506013219,4353,251635,104,166
506013219,50465,12068,3,7
506013219,45569,124587,89,128
506013219,60433,79,3,3
506013219,1841,163696,25,44
506013219,2049,3231,11,18
506013219,1537,10433,37,92
506013219,49169,12433,7,10
506013219,2161,391294,94,164
506013219,45841,388315,110,208
506013219,53601,84172,28,46
506013219,337,670,2,8
506013219,8465,141550,65,113
506013219,5137,128155,40,75
506013219,48641,115330,35,66
506013219,46865,112326,34,68
506013219,6433,3186,8,12
506013219,12561,12738,34,57
506013219,54145,22544,6,10
506013219,51345,512302,268,417
506013219,57377,68998,26,41
506013219,53281,89707,21,39
506013219,6209,640403,119,228
506013219,14625,139287,47,100
506013219,61249,63029,40,54
506013219,3393,420,3,5
506013219,9745,451636,110,164
506013219,14145,12017,24,36
506013219,5953,1956,14,26
506013219,56577,2810,9,27
506013219,51233,719704,202,342
506013219,55889,1318846,702,1114
506013219,13889,99248,22,42
506013219,12545,63717,32,43
506013219,32577,75211,21,30
506013219,53249,115764,60,126
506013219,60945,524984,117,199
506013219,56657,59699,17,37
506013219,2865,182963,41,66
506013219,3633,79013,31,51
506013219,2913,4719,16,27
506013219,62241,123305,36,71
506013219,1057,20193,15,24
506013219,5457,76547,31,57
506013219,1,34473,34,61
506013219,19985,106184,38,57
506013219,6977,33377,17,31
506013219,15441,248629,83,149
506013219,23057,83631,27,40
506013219,33825,210406,39,71
506013219,1889,69896,46,90
506013219,17665,3390,2,2
506013219,61969,122911,52,94
506013219,62017,79795,28,48
506013219,2129,17213,15,31
506013219,2081,428,1,1
506013219,56097,180355,88,183
506013219,51585,332698,169,253
506013219,53105,69856,15,32
506013219,62545,74149,25,37
506013219,45585,22896,17,23
506013219,2657,251897,76,144
506013219,64065,789923,273,519
506013219,51473,319409,126,183
506013219,60689,8882,5,13
506013219,8017,1431,4,14
506013219,42017,26075,5,12
506013219,625,1582,3,6
506013219,63793,2360,1,2
506013219,60449,168644,44,78
506013219,4385,184574,68,101
506013219,55057,233570,162,267
506013219,1377,27781,32,58
506013219,2401,2299,9,20
506013219,66081,155782,30,56
506013219,32545,36052,15,30
506013219,5265,28835,5,7
506013219,45057,95182,30,51
506013219,63537,707666,154,242
506013219,18961,110938,45,85
506013219,12305,968920,184,329
506013219,35841,114128,36,60
506013219,5697,370615,102,170
506013219,8977,126354,78,147
506013219,64769,8680,5,11
506013219,60225,778556,230,403
506013219,33793,6569,2,3
506013219,62753,274775,53,95
506013219,81,501,5,17
506013219,22017,833282,153,258
506013219,11281,18903,47,92
506013219,16145,40466,56,117
506013219,52881,60026,17,30
506013219,43297,471136,117,187
506013219,31249,24085,5,7
506013219,16897,1362258,295,525
506013219,65585,22513,5,12
506013219,4625,15014,31,59
506013219,55809,143185,27,48
506013219,51857,8651,3,5
506013219,2833,3546,35,68
506013219,32001,0,0,0
506013219,4897,1626,15,37
506013219,66305,53384,11,19
506013219,2577,51642,45,77
506013219,5409,149206,121,205
506013219,51105,10298,4,6
506013219,513,167662,84,150
506013219,37649,140192,37,53
506013219,34337,13975,4,10
506013219,57409,846755,244,407
506013219,63057,738891,102,177
506013219,1345,452,3,7
506013219,5665,395,4,7
506013219,51537,65555,26,42
506013219,13329,3864,12,24
506013219,2881,3888,11,21
506013219,62289,9115,4,8
506013219,57105,427507,215,447
506013219,3089,415,7,12
506013219,2113,68344,56,91
506013219,53345,23437,9,11
506013219,2625,98710,57,98
506013219,3873,159414,76,108
506013219,22801,789015,137,241
506013219,47377,167438,114,173
506013219,6049,74348,17,30
506013219,61713,60985,24,43
506013219,865,661,6,13
506013219,33041,51137,14,30
506013219,57361,123329,82,133
506013219,7761,3394,10,25
506013219,3905,155078,53,75
506013219,881,3619,5,8
506013219,10273,116,2,4
506013219,61473,20368,8,13
506013219,3601,2828,12,36
506013219,53665,38237,8,13
506013219,49953,77516,16,32
506013219,57889,24884,22,37
506013219,11521,921006,223,420
506013219,10577,1177,8,12
506013219,51713,56096,71,130
506013219,32513,507,1,1
506013219,321,569,2,5
506013219,51329,150495,33,62
506013219,60977,31243,5,9
506013219,18449,257832,121,215
506013219,58929,27095,6,12
506013219,25169,10271,4,6
506013219,56865,19181,4,8
506013219,32321,70287,31,55
506013219,58449,84964,74,112
506013219,59137,177034,68,126
506013219,43553,29604,9,17
506013219,1041,59332,59,108
506013219,11793,59874,37,80
506013219,55569,990963,406,689
506013219,8257,1285,7,10
506013219,15905,197412,53,94
506013219,52065,394676,144,246
506013219,17473,101224,42,73
506013219,2097,364169,80,130
506013219,15681,635611,170,296
506013219,3121,2547,7,11
506013219,545,165,1,3
506013219,55425,2831,0,1
506013219,56081,78819,32,48
506013219,64273,452283,150,278
506013219,4881,1688,9,19
506013219,50961,209731,92,175
506013219,15425,369798,93,173
506013219,6401,782,5,8
506013219,60753,5373,1,3
506013219,6913,967,4,4
506013219,3409,1311,9,17
506013219,7969,21495,7,23
506013219,51569,55335,27,57
506013219,11025,173947,70,165
506013219,1825,1343,14,29
506013219,4401,0,1,1
506013219,13313,123984,42,71
506013219,20241,33854,20,28
506013219,2417,142770,31,46
506013219,53761,3080,4,9
506013219,2065,21,0,1
506013219,5393,9113,26,50
506013219,14113,9460,3,3
506013219,11809,14426,8,13
506013219,58657,35157,12,18
506013219,54305,60626,20,31
506013219,65073,1482,1,1
506013219,833,863,5,10
506013219,4129,999,1,5
506013219,51361,1207747,355,602
506013219,3425,337769,76,134
506013219,7249,226298,39,60
506013219,61729,24530,4,17
506013219,35329,77715,19,28
506013219,8961,23007,19,52
506013219,54657,33176,11,21
506013219,16657,387102,134,225
506013219,19217,983965,197,342
506013219,15889,74808,58,108
506013219,53537,1606,15,31
506013219,6673,5398,31,50
506013219,14609,1431032,264,459
506013219,6177,1007,3,8
506013219,19281,32889,10,13
506013219,785,259,4,7
506013219,32257,6036,2,4
506013219,55633,22974,7,11
506013219,51745,5729,3,5
506013219,27153,109816,29,51
506013219,59905,31499,14,22
506013219,3617,492,1,5
506013219,577,0,2,2
