account_id,tank_id,damage_dealt,wins,battles
501989941,18497,67528,31,67
501989941,3921,82906,23,35
501989941,33089,462869,69,112
501989941,44289,293072,92,140
501989941,52865,46606,19,26
501989941,47121,151354,38,66
501989941,11265,123442,79,132
501989941,52065,120460,38,77
501989941,53249,77166,28,35
501989941,11857,212178,146,261
501989941,16673,82254,57,97
501989941,2913,13124,19,28
501989941,15617,5102721,1042,1727
501989941,1793,160819,84,149
501989941,57937,6696733,1086,1737
501989941,6657,17230,12,23
501989941,4961,210557,82,171
501989941,1665,108594,54,83
501989941,10801,275883,32,45
501989941,32785,79634,14,21
501989941,18177,709034,302,577
501989941,1121,606,0,1
501989941,52001,2746,5,8
501989941,1089,171,0,1
501989941,4657,26104,21,31
501989941,273,22655,10,22
501989941,15105,5045,4,11
501989941,17985,2778,2,11
501989941,52097,1426269,427,710
501989941,17953,196579,88,160
501989941,1409,27934,10,16
501989941,8737,411981,109,214
501989941,3585,70656,38,53
501989941,4193,452227,147,263
501989941,50193,1430454,418,750
501989941,52481,7057,6,11
501989941,63745,0,0,0
501989941,2897,63583,52,90
501989941,4353,86607,24,46
501989941,45569,96906,48,89
501989941,60433,22,0,1
501989941,1537,21808,18,28
501989941,2161,254061,68,109
501989941,53601,11898,4,5
501989941,58913,360669,115,190
501989941,11345,31910,21,46
501989941,48641,1705522,533,892
501989941,1905,118698,55,108
501989941,6433,13275,48,107
501989941,3457,27307,16,37
501989941,12561,4016,5,11
501989941,15137,40484,58,113
501989941,57377,17073,2,11
501989941,6209,1346867,232,405
501989941,35873,196239,22,39
501989941,14625,378696,144,268
501989941,18209,437103,168,332
501989941,62785,29265,11,19
501989941,9745,82710,17,24
501989941,8529,288768,119,228
501989941,14145,11828,10,22
501989941,10241,74768,37,56
501989941,64833,0,0,0
501989941,5953,185,1,1
501989941,56577,3350,7,12
501989941,3201,1217,2,4
501989941,5185,57732,28,50
501989941,18689,21522,8,22
501989941,13889,210663,55,113
501989941,51729,59951,48,89
501989941,51489,1535,8,15
501989941,60945,160203,47,89
501989941,56657,376631,129,223
501989941,2865,107716,42,71
501989941,3633,99362,54,91
501989941,62241,5787,2,6
501989941,1057,25220,24,41
501989941,5457,44644,23,49
501989941,1,119576,86,148
501989941,67361,531095,63,98
501989941,145,62534,32,57
501989941,23057,176309,45,74
501989941,11041,86234,36,60
501989941,17665,152079,47,106
501989941,8241,128973,20,30
501989941,12289,5218,2,2
501989941,7825,6506,1,1
501989941,2129,31790,31,66
501989941,2081,4558,16,40
501989941,14881,812434,140,272
501989941,52593,50514,7,15
501989941,7185,45592,14,26
501989941,10065,256573,132,258
501989941,2657,19671,3,7
501989941,61697,88189,17,32
501989941,60689,8653,12,17
501989941,8545,232435,37,57
501989941,4225,14767,7,10
501989941,3345,3918,13,24
501989941,7457,378054,144,273
501989941,7969,97320,43,95
501989941,16961,885049,135,199
501989941,60449,4683,1,2
501989941,4385,89932,24,36
