account_id,tank_id,damage_dealt,wins,battles
516112983,18497,70050,31,56
516112983,3921,104362,34,53
516112983,61457,64185,36,45
516112983,59729,115341,49,80
516112983,14673,119800,33,61
516112983,57681,3076,1,1
516112983,44289,544396,129,191
516112983,52865,440508,108,150
516112983,6721,49957,49,78
516112983,54609,1153,3,5
516112983,10513,366310,138,248
516112983,21761,507678,86,147
516112983,4145,423076,73,113
516112983,11265,15825,9,21
516112983,5985,328,1,2
516112983,3857,306158,169,313
516112983,62785,271953,74,117
516112983,32833,141726,35,62
516112983,11857,104386,76,137
516112983,16673,394714,287,524
516112983,14353,50773,21,38
516112983,15617,3594914,680,1015
516112983,1793,198393,113,238
516112983,58705,419755,167,251
516112983,54289,326869,88,159
516112983,5265,1186377,197,320
516112983,4737,955765,184,304
516112983,5185,139939,115,220
516112983,47121,629995,121,176
516112983,4961,178721,59,109
516112983,1665,98910,41,71
516112983,3681,1534284,273,469
516112983,32785,747505,128,212
516112983,593,2723,5,6
516112983,21537,366702,49,85
516112983,18177,986248,433,833
516112983,1121,128312,62,122
516112983,52001,2634,4,5
516112983,21841,351115,59,77
516112983,1089,9343,17,41
516112983,4657,30503,46,82
516112983,273,86603,76,134
516112983,59473,214195,78,119
516112983,15105,1544,7,11
516112983,57617,164302,63,89
516112983,59441,84086,14,25
516112983,52097,395609,96,159
516112983,1409,52365,34,58
516112983,53121,383717,95,143
516112983,52305,46551,11,18
516112983,3585,82459,39,63
516112983,2449,30428,19,34
516112983,4193,246961,67,120
516112983,50193,526687,125,210
516112983,9489,478490,78,118
516112983,52481,91492,92,165
516112983,63745,0,0,0
516112983,13089,512173,83,138
516112983,17425,11241,16,24
516112983,8289,473910,75,110
516112983,45569,503517,164,264
516112983,60433,23624,41,74
516112983,2049,12098,24,48
516112983,1537,9434,23,36
516112983,49169,188063,90,141
516112983,9553,62919,57,89
516112983,2161,73368,13,22
516112983,45841,525317,141,220
516112983,53601,225382,55,78
516112983,58913,190653,48,78
516112983,20481,157955,52,89
516112983,54881,10640,4,8
516112983,11345,5790,5,9
516112983,17729,573772,103,176
516112983,8465,79392,22,39
516112983,5137,63714,7,23
516112983,52737,706,1,4
516112983,46865,371410,93,135
516112983,6433,12490,33,65
516112983,3457,17690,18,37
516112983,12561,18346,33,67
516112983,57377,254937,78,141
516112983,5425,816618,133,224
516112983,6209,3694186,602,1015
516112983,35873,175550,18,35
516112983,14625,354573,167,290
516112983,18209,238237,85,138
516112983,30481,572518,115,168
516112983,6801,94128,42,63
516112983,3105,8428,16,36
516112983,14145,157882,157,298
516112983,10241,87906,35,63
516112983,64833,0,0,0
516112983,5953,1870,4,9
516112983,56577,55612,87,148
516112983,51233,387247,83,136
516112983,18689,2123,3,5
516112983,11537,613400,196,363
516112983,12545,69594,32,46
516112983,51729,1073,1,1
516112983,53249,244314,64,91
516112983,51489,31227,57,101
516112983,60945,541280,108,191
516112983,3969,129575,55,122
516112983,56657,353888,108,158
516112983,2865,190988,63,117
516112983,3633,204412,81,164
516112983,1057,68184,99,181
516112983,3345,6457,11,19
516112983,1,39486,41,66
516112983,1697,13241,6,8
516112983,5921,305104,150,265
516112983,10833,9808,28,50
516112983,19985,634738,146,241
516112983,6977,85729,37,65
516112983,67361,189375,22,38
516112983,15441,443941,145,237
516112983,23057,58590,12,21
516112983,12881,37721,27,59
516112983,1889,113452,61,130
516112983,2129,1969,2,9
516112983,2081,4265,21,44
516112983,4913,48938,30,59
516112983,31233,83214,25,38
516112983,14881,760551,121,226
516112983,52593,273639,52,80
516112983,7185,125301,73,122
516112983,10065,111893,38,82
516112983,2657,226673,84,148
516112983,61697,603141,109,175
516112983,7953,632935,196,360
516112983,8017,4846,11,29
516112983,4225,224207,72,134
516112983,5457,30935,16,24
516112983,17169,2554,8,12
516112983,7457,613296,197,327
516112983,7969,47953,25,48
516112983,16961,699427,103,161
516112983,15361,3033,13,23
516112983,7697,83154,42,87
516112983,1377,26874,33,65
516112983,2401,2408,3,8
516112983,4865,1003,3,8
516112983,58961,1037583,322,516
516112983,32545,305167,67,103
516112983,3937,522849,94,156
516112983,8081,131164,26,42
516112983,57937,8180316,1251,1846
516112983,10529,2159,5,6
516112983,63537,394079,65,108
516112983,52817,2650,4,6
516112983,63249,2380,2,3
516112983,20513,8447,4,6
516112983,18961,115224,55,81
516112983,3841,572,5,8
516112983,22273,402814,68,99
516112983,5697,485279,151,280
516112983,20993,444532,73,125
516112983,8977,221252,123,231
516112983,5665,251,1,8
516112983,19201,2167316,625,1055
516112983,60225,789511,197,292
516112983,58369,2417098,412,651
516112983,6145,432719,72,119
516112983,81,71,0,2
516112983,22017,1040064,188,302
516112983,21505,378492,78,126
516112983,929,737,1,2
516112983,29441,1914,2,2
516112983,2305,42615,16,23
516112983,5969,54936,20,24
516112983,18241,103420,65,97
516112983,25617,126404,63,87
516112983,11281,20758,34,49
516112983,16145,29597,28,69
516112983,3665,33879,17,26
516112983,7681,3557,16,27
516112983,16897,1046389,248,436
516112983,65585,522563,95,148
516112983,15953,714284,118,173
516112983,1137,31015,42,63
516112983,3153,79476,33,68
516112983,11089,34201,47,78
516112983,1633,13202,19,43
516112983,19969,1103640,197,312
516112983,15137,37867,56,122
516112983,3393,1701,5,10
516112983,20225,760297,127,224
516112983,2577,54542,49,91
516112983,5409,21903,36,67
516112983,51105,323749,64,111
516112983,8721,30832,11,21
516112983,513,206523,111,222
516112983,11041,66027,19,36
516112983,20737,124463,25,44
516112983,2593,304705,53,86
516112983,1345,4991,9,21
516112983,56913,47980,14,25
516112983,6929,498887,89,137
516112983,4433,295678,64,116
516112983,51537,332546,88,139
516112983,13329,8124,16,42
516112983,4945,12259,17,28
516112983,7713,7396,12,30
516112983,2881,3517,11,29
516112983,57105,117659,73,132
516112983,3089,1768,10,14
516112983,2113,62421,31,53
516112983,30993,10367,2,3
516112983,63281,650901,185,282
516112983,2625,88029,55,116
516112983,3873,166516,63,121
516112983,22801,804395,137,226
516112983,10017,76302,61,112
516112983,9233,368124,111,217
516112983,6401,1438,3,6
516112983,865,1849,7,9
516112983,51841,555,1,1
516112983,7217,2546,1,1
